                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     54,                 0.6135,                0.11507,                0.58516,                  1.063,                0.69745,                0.77542,                0.76475,                0.56021,                0.69745,                0.77542,                0.76475,                0.54332,                0.94432,               0.080337,                0.96987,                 1.4746,               0.004753,               0.004753,               0.004753
                     55,                0.60266,                0.11836,                0.57785,                 1.0708,                0.73333,                0.65921,                 0.7186,                 0.5419,                0.73333,                0.65921,                 0.7186,                0.54118,                 1.0018,               0.080826,                 1.1631,                 1.5279,               0.004654,               0.004654,               0.004654
                     56,                0.60151,                0.11282,                0.55293,                 1.0481,                0.73046,                0.70097,                0.72694,                0.57269,                0.75563,                 0.7218,                0.75894,                0.55634,                0.87381,               0.077215,                 1.1883,                 1.4284,               0.004555,               0.004555,               0.004555
                     57,                0.53686,                0.10387,                0.51236,                 1.0196,                0.64446,                0.78014,                0.76358,                0.59685,                0.64446,                0.78014,                0.75409,                0.58452,                  0.935,               0.078495,                 0.9816,                  1.587,               0.004456,               0.004456,               0.004456
                     58,                0.55457,                0.11713,                0.50905,                 1.0221,                0.72786,                 0.7109,                0.78829,                0.59534,                0.72786,                 0.7109,                0.78292,                0.57552,                0.89432,               0.083708,                0.88695,                 1.5319,               0.004357,               0.004357,               0.004357
                     59,                0.54691,                0.10647,                 0.5331,                 1.0384,                0.90996,                0.68964,                 0.8485,                0.62728,                0.90996,                0.68964,                 0.8485,                 0.6179,                0.91484,               0.077657,                0.84361,                 1.5085,               0.004258,               0.004258,               0.004258
                     60,                0.54558,                0.11568,                0.51688,                 1.0321,                0.76379,                0.71149,                0.81107,                0.62145,                0.76379,                0.71149,                0.81107,                0.60469,                0.91016,               0.073279,                0.87528,                 1.4631,               0.004159,               0.004159,               0.004159
                     61,                0.53454,                0.11794,                0.54261,                 1.0221,                 0.7766,                0.76038,                0.79645,                0.61302,                 0.7766,                0.76038,                0.79645,                0.59813,                0.92489,                0.07626,                0.93096,                 1.4893,                0.00406,                0.00406,                0.00406
                     62,                0.50492,                0.10376,                0.44642,                 1.0103,                0.78148,                 0.7069,                0.77857,                0.59973,                0.78148,                 0.7069,                0.77857,                0.58581,                0.84992,               0.075739,                0.94506,                 1.3965,               0.003961,               0.003961,               0.003961
                     63,                0.51412,                0.10133,                0.53133,                 1.0053,                  0.764,                0.81784,                0.80014,                0.64779,                0.78032,                0.83756,                0.82693,                0.61738,                0.83441,               0.071966,                 0.8271,                 1.4084,               0.003862,               0.003862,               0.003862
                     64,                0.50884,                0.10517,                0.47888,                 1.0145,                0.76615,                0.74818,                0.80282,                0.63832,                0.76615,                0.74818,                0.80282,                0.61457,                0.84072,               0.075049,                 1.0185,                 1.3846,               0.003763,               0.003763,               0.003763
                     65,                0.48548,               0.092514,                0.42526,                 0.9851,                0.80871,                 0.7571,                0.81674,                 0.6109,                0.80871,                 0.7571,                0.81674,                0.60042,                0.87995,               0.072381,                0.92566,                 1.3861,               0.003664,               0.003664,               0.003664
                     66,                 0.4894,                0.10858,                0.42332,                0.97733,                0.87012,                0.77558,                0.86436,                0.66566,                0.87012,                0.77558,                0.86436,                0.64563,                0.78561,               0.074238,                0.81417,                 1.3508,               0.003565,               0.003565,               0.003565
                     67,                0.51735,                0.11463,                0.46153,                 1.0003,                0.73117,                0.75518,                0.81882,                0.60105,                0.73117,                0.75518,                0.81882,                 0.5841,                0.92438,               0.075211,                0.93998,                 1.5228,               0.003466,               0.003466,               0.003466
                     68,                 0.4809,                 0.1122,                 0.4154,                0.98271,                0.80067,                0.81659,                0.85121,                0.65532,                0.80067,                0.81659,                0.85121,                0.62879,                0.90526,               0.075026,                0.85115,                 1.5395,               0.003367,               0.003367,               0.003367
                     69,                0.48704,                 0.1084,                0.39808,                0.97507,                0.76255,                  0.758,                0.83298,                0.59527,                0.76255,                  0.758,                0.83298,                0.57342,                0.95156,               0.074639,                0.95815,                 1.5985,               0.003268,               0.003268,               0.003268
